t_lower_q,t_higher_q,t_median,t_max,t_min,t_mean,t_std,u_lower_q,u_higher_q,u_median,u_max,u_min,u_mean,u_std,congestion,throughput,num_sample,reward
3132.3574989999997,9909.227488999999,5069.512201,24549.45172,585.3559769999999,6943.411981047619,5493.664397675637,0.0398701728,0.20051282272,0.115786748825,0.43897287552,0.014633899425,0.13671232834511904,0.10455732967164336,0.0,291623.303204,11,17.266721154466534
3285.45858,9816.088537000001,5498.926792,19220.997847,300.551874,6883.185269642857,4437.99104220474,0.0519587379,0.19220997847,0.11558315718250001,0.48087715503999995,0.01202207496,0.14500765254107145,0.11627145877342641,0.0,289093.781325,12,15.718461822355987
2812.8114109999997,10317.782412,5228.1469755,25366.782515000003,216.41238300000003,6900.773945333333,5540.5316784786,0.038369591019999996,0.17705673256,0.11254298098,0.51958253224,0.00865649532,0.13584454287833334,0.11595493644082655,0.0,289832.505704,13,14.362808213199505
3361.655875,9558.479539999998,5363.979875499999,21740.235836999997,191.130049,6957.487594738097,4703.749883233469,0.05106706619999999,0.21093827299999998,0.12121042102750001,0.36410024928,0.00764520196,0.14329803832916668,0.10340989003663768,0.0,292214.47897900007,14,19.90103606894472
1964.6441849999997,10866.814505999999,4853.815361500001,21422.605390999997,74.688739,7011.844852261904,5868.526260015164,0.03430793995,0.20649162403,0.11543464547750001,0.48605838092,0.00298754956,0.14022234698190475,0.11749580994737362,0.0,294497.48379499995,15,15.249485502551597
2600.6459299999997,10437.264104,3954.9548809999997,28712.885497000003,355.76625900000005,7039.594351333335,6401.672659090982,0.033505172890000004,0.20576125347500002,0.10001052524500001,0.6927286913999999,0.01059746755,0.14491649082297617,0.15011325270573495,0.0,295662.96275600005,16,9.668922194516211
2850.645521,10833.521414999997,4482.735724,22227.05682,128.34198099999998,6917.088034285714,5402.020291339897,0.04389960845,0.17406913276,0.11118051749499999,0.40716214807999995,0.005133679239999999,0.135582717245,0.10544166097470055,0.0,290517.69743999996,17,18.092870551173313
1850.0315919999998,10301.983994999999,3385.107204,32959.334798,250.60486699999998,7231.772491261905,7837.753818329826,0.04249513840000001,0.14866265695,0.09151702786499999,0.97504022704,0.01002419468,0.14768252402690477,0.18643304387433954,0.0,303734.444633,18,3.8031927947625324
3118.6428830000004,8364.127224000002,5559.799382,28237.469035000006,94.594346,6831.788867452381,5753.738564379807,0.05342289828,0.18864812539999998,0.107298522515,0.334063732825,0.00378377384,0.1291858796641667,0.09450032481084356,0.0,286935.132433,19,21.02306508005977
3429.3734010000003,9513.001715,6613.9385919999995,17666.938076000002,76.081755,6889.575655857144,4033.226080618191,0.0590500806,0.20622168952,0.11214985045999998,0.47188162712,0.0030432702,0.14778399109535714,0.10991038192903146,0.0,289362.17754600005,20,15.719020391175476
2583.7403179999997,10118.028064,5960.9832185,26595.006931000004,429.758231,6919.349817166666,5736.061644637091,0.0400967522,0.20080672687999998,0.10600012972249998,0.4790868588799999,0.005358010389999999,0.1388157287927381,0.11719523667696444,0.0,290612.692321,21,15.556369289612832
3401.331435,9608.74717,5135.948692999999,22687.579988,546.587501,6913.575849547619,5169.461407262285,0.049141330479999995,0.19936301639999998,0.11626610694499999,0.3743164352400001,0.021863500039999997,0.13730018856404763,0.09968204152994171,0.0,290370.185681,22,20.068359105328014
2346.711235,10050.630828,4612.595692,23656.785440999996,473.283457,6963.429987833333,5847.0775728842955,0.0400814174,0.20818211952000001,0.10487685661499999,0.4354135182800001,0.011832086425,0.13665406271904765,0.10557048172494031,0.0,292464.059489,23,17.294191452703053
2999.267925,9628.837482,5345.971368,21923.617548000002,18.975958000000002,6907.431664595239,5217.501202105234,0.05314307511,0.215105409,0.10916409362000001,0.4996621582,0.0007590383200000001,0.13780020323273812,0.10944465430298048,0.0,290112.12991300004,24,14.740453177121449
4313.681665,9891.032728999999,5641.0151104999995,18405.08455,675.7143099999998,6869.442413333335,4166.386538541684,0.07530340372,0.18677276420000002,0.1151439833,0.44800253408,0.022809008224999996,0.14161257877940475,0.10481777804589573,0.0,288516.58136000007,25,17.23578080912642
2764.035661,10232.30129,5607.7452015,20588.007460999997,46.300726999999995,6953.864613738096,5286.540600728972,0.0344711744,0.21105037767500004,0.120291139095,0.4309543295199999,0.0018520290799999997,0.13846606835988096,0.10386368683186174,0.0,292062.313777,26,17.094896143665547
2760.057871000001,11158.257596,4995.52089,17689.602674000005,559.0884620000002,7002.078280142858,5127.019281544685,0.044488089040000005,0.18639223471999997,0.11255432668000001,0.5990661301199999,0.013977211550000004,0.14816049222250002,0.13218208027621411,0.0,294087.287766,27,12.185926179244559
